Chinese,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
laisser,let
aucun,no
eux,them
chaque,each
parlé,speak
bébé,baby
longtemps,long time
heures,hours
pendant,while
parle,speak
attention,Warning
pourrais,could
type,type
leurs,their
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
main,hand
première,first
pouvoir,power
vieux,old
tiens,here
suite,after
devant,in front of
chambre,bedroom
aujourd'hui,today
espère,hope
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
gros,large
plutôt,rather
aura,will have
